#node	identifier	domain_summary_url	annotation	other_names_and_aliases
PIGU	9606.ENSP00000217446	https://smart.embl.de/smart/DDvec.cgi?smart=435:Pfam_PIG-U(10|394)+	Phosphatidylinositol glycan anchor biosynthesis class U protein; Component of the GPI transamidase complex. May be involved in the recognition of either the GPI attachment signal or the lipid portion of GPI; Phosphatidylinositol glycan anchor biosynthesis	128869,AAH30512.1,AAQ18022.1,AAQ89175.1,AAR23798.1,AB086842,AK075507,AL118520,AY339061,AY358816,AY422169,BAC11660.1,BAC53626.1,BC030512,CAC14080.1,CCDS13239,CCDS13239.1,CDC91 cell division cycle 91-like 1,CDC91-like 1,CDC91L1,Cell division cycle protein 91-like 1,ENSG00000101464,ENSP00000217446,ENSP00000346854,ENSP00000363953,ENSP00000395755,ENSP00000416593,ENST00000217446,ENST00000354799,ENST00000374820,ENST00000438215,ENST00000452740,ENST00000462389,ENST00000480175,GAB1,GPI transamidase component PIG-U,GPI transamidase subunit,HGNC:15791,HPA041706,HPA046766,NM_080476,NM_080476.4,NP_536724,NP_536724.1,NX_Q9H490,OMIM:608528,OTTHUMG00000032304,OTTHUMP00000030693,OTTHUMP00000030694,OTTHUMT00000078795,OTTHUMT00000078796,OTTHUMT00000078797,OTTHUMT00000078798,PIGU,PIGU-001,PIGU-002,PIGU-003,PIGU-004,PIGU-201,PIGU_HUMAN,PSEC0205,Phosphatidylinositol glycan anchor biosynthesis,Q5JWU1,Q7Z489,Q8N2F2,Q9H490,UNQ3055/PRO9875,UPI0000131ABC,UPI00001B9206,UPI0000E5A311,bA346K17.2,hsa:128869,uc002xas.3,uc002xas.4,uc002xat.3
PITRM1	9606.ENSP00000370377	https://smart.embl.de/smart/DDvec.cgi?smart=1038:Pfam_Peptidase_M16(93|188)+Pfam_Peptidase_M16_C(244|431)+M16C_associated(504|753)+Pfam_Peptidase_M16_C(769|960)+	Presequence protease, mitochondrial; ATP-independent protease that degrades mitochondrial transit peptides after their cleavage. Also degrades other unstructured peptides. Specific for peptides in the range of 10 to 65 residues. Able to degrade amyloid beta A4 (APP) protein when it accumulates in mitochondrion, suggesting a link with Alzheimer disease. Shows a preference for cleavage after small polar residues and before basic residues, but without any positional preference; Belongs to the peptidase M16 family. PreP subfamily	10531,3.4.24.-,4L3T,4NGE,4RPU,AAC67244.1,AAH01150.1,AAH05025.1,AAH95422.1,AAI11988.1,AAI13370.1,AB029027,AF061243,AK002061,AK303406,B1APQ0,B1APQ1,B3KMJ6,B4E0J8,BAA83056.2,BAG51008.1,BAG64460.1,BC001150,BC005025,BC095422,BC111987,BC113369,C9JSL2,CAI39997.1,CAI40001.1,CCDS55699,CCDS55699.1,CCDS55700,CCDS55700.1,CCDS59208,CCDS59208.1,E7ES23,EC 3.4.24.-,ENSG00000107959,ENSP00000224949,ENSP00000325387,ENSP00000325573,ENSP00000370365,ENSP00000370367,ENSP00000370377,ENSP00000370382,ENSP00000391526,ENSP00000399307,ENSP00000401201,ENSP00000402072,ENSP00000406829,ENSP00000413687,ENST00000224949,ENST00000323553,ENST00000323575,ENST00000380978,ENST00000380980,ENST00000380989,ENST00000380994,ENST00000424714,ENST00000430362,ENST00000451104,ENST00000451454,ENST00000455371,ENST00000458418,ENST00000464395,ENST00000488065,ENST00000490510,HGNC:17663,HPA006753,HPA006754,KIAA1104,M16 metallopeptidases,M16.009,MP1,NM_001242307,NM_001242307.1,NM_001242309,NM_001242309.1,NM_014889,NM_014889.3,NP_001229236,NP_001229236.1,NP_001229238,NP_001229238.1,NP_055704,NP_055704.2,NX_Q5JRX3,O95204,OTTHUMG00000017557,OTTHUMP00000018972,OTTHUMP00000018973,OTTHUMP00000018974,OTTHUMP00000018975,OTTHUMP00000018976,OTTHUMP00000018977,OTTHUMT00000046463,OTTHUMT00000046464,OTTHUMT00000046465,OTTHUMT00000046466,OTTHUMT00000046467,OTTHUMT00000046469,OTTHUMT00000046470,OTTHUMT00000046471,OTTHUMT00000046472,PITRM1,PITRM1-001,PITRM1-002,PITRM1-003,PITRM1-004,PITRM1-005,PITRM1-007,PITRM1-008,PITRM1-009,PITRM1-010,PITRM1-201,PITRM1-202,PREP_HUMAN,Pitrilysin metallopeptidase 1,Pitrilysin metalloproteinase 1,PreP,PreP peptidasome,Presequence protease, mitochondrial,Q2M2G6,Q4VBR1,Q5JRW7,Q5JRX3,Q7L5Z7,Q9BSI6,Q9BVJ5,Q9UPP8,UPI0000141129,UPI00001F8A38,UPI00004A2DF3,UPI00004A2DF4,UPI000059D0EF,UPI000059D0F0,UPI00015E00B2,UPI0001AE6CCA,XM_005252345,XM_005252345.2,XM_006717362,XM_006717362.1,XP_005252402,XP_005252402.1,XP_006717425,XP_006717425.1,hMP1,hsa:10531,pitrilysin metallopeptidase 1,pitrilysin metalloproteinase 1,presequence protease, mitochondrial,uc001igt.2,uc001igt.3,uc009xhv.2,uc009xhv.3,uc010qah.2
PKP2	9606.ENSP00000070846	https://smart.embl.de/smart/DDvec.cgi?smart=881:ARM(384|424)+ARM(426|468)+ARM(570|616)+ARM(718|758)+	Plakophilin-2; May play a role in junctional plaques; Armadillo repeat containing	3TT9,5318,A0AV37,AAH94762.1,AAI26200.1,AAI43967.1,AC087311,AC087588,ACD03459.1,ACD13292.1,ACD13293.1,ACD13295.1,ARVD9,Armadillo repeat containing,B8QFA1,B8QGS6,B8QGS7,B8QGS9,BC094762,BC126199,BC143966,CAA66264.1,CAA66265.1,CCDS31771,CCDS31771.1,CCDS8731,CCDS8731.1,D3DUW9,EAW88511.1,EAW88514.1,EAW88515.1,ENSG00000057294,ENSP00000070846,ENSP00000342800,ENSP00000441207,ENSP00000478295,ENSP00000481383,ENST00000070846,ENST00000340811,ENST00000537278,ENST00000546498,ENST00000546741,ENST00000546769,ENST00000549461,ENST00000552612,ENST00000613243,EU492903,EU520483,EU520484,EU520486,HGNC:9024,HPA014314,HPA056908,Hs.164384,Hs.597742,LRG_398,LRG_398t1,NM_001005242,NM_001005242.2,NM_004572,NM_004572.3,NP_001005242,NP_001005242.2,NP_004563,NP_004563.2,NX_Q99959,OMIM:602861,OTTHUMG00000169500,OTTHUMP00000241342,OTTHUMP00000241343,OTTHUMP00000275065,OTTHUMT00000404448,OTTHUMT00000404449,OTTHUMT00000404492,OTTHUMT00000404493,OTTHUMT00000404494,OTTHUMT00000404495,OTTHUMT00000404496,PKP2,PKP2-001,PKP2-002,PKP2-003,PKP2-004,PKP2-005,PKP2-006,PKP2-007,PKP2-201,PKP2_HUMAN,Plakophilin 2,Plakophilin-2,Plakophilins,Q4VC01,Q99959,Q99960,UPI000013C576,UPI00001FB886,UPI0001899F85,UPI000462094C,X97675,hsa:5318,plakophilin 2,uc001rlj.4,uc001rlj.5,uc001rlk.4,uc001rlk.5
PLAT	9606.ENSP00000220809	https://smart.embl.de/smart/DDvec.cgi?smart=562:SIGNAL(1|22)+FN1(41|83)+EGF(85|120)+KR(125|210)+KR(213|298)+Tryp_SPc(310|556)+	Tissue-type plasminogen activator; Converts the abundant, but inactive, zymogen plasminogen to plasmin by hydrolyzing a single Arg-Val bond in plasminogen. By controlling plasmin-mediated proteolysis, it plays an important role in tissue remodeling and degradation, in cell migration and many other physiopathological events. Plays a direct role in facilitating neuronal migration	1A5H,1BDA,1PK2,1PML,1RTF,1TPG,1TPK,1TPM,1TPN,3.4.21.68,5327,5BRR,A8K022,AAA36800.1,AAA60111.1,AAA61213.1,AAA98809.1,AAB59510.1,AAH02795.3,AAH07231.1,AAH13968.3,AAH18636.3,AAH95403.1,AAK11956.1,AAO34406.1,AAP34246.1,AAP35709.1,AC083973,AC103724,AF260825,AK289387,AK290575,AK297738,AK297937,AK313342,AY221101,AY291060,Alteplase,B2R8E8,B4DN26,B4DNJ1,BAA00881.1,BAF82076.1,BAF83264.1,BAG36145.1,BAG60088.1,BAG60253.1,BC002795,BC007231,BC013968,BC018636,BC095403,BT007060,CAA23833.1,CAA30302.1,CAA31489.1,CAA54669.1,CAB009335,CCDS6126,CCDS6126.1,CCDS6127,CCDS6127.1,CCDS83291,CHEMBL1873,D01096,E5RGA1,E5RHG4,E7ESF4,EAW63233.1,EAW63235.1,EC 3.4.21.68,ENSG00000104368,ENSP00000220809,ENSP00000270187,ENSP00000270188,ENSP00000270189,ENSP00000315297,ENSP00000352080,ENSP00000392045,ENSP00000407861,ENSP00000408493,ENSP00000416924,ENSP00000428797,ENSP00000428886,ENSP00000429401,ENSP00000429542,ENSP00000429801,ENST00000220809,ENST00000270187,ENST00000270188,ENST00000270189,ENST00000324714,ENST00000352041,ENST00000359164,ENST00000411658,ENST00000412598,ENST00000429089,ENST00000429710,ENST00000519510,ENST00000520523,ENST00000521042,ENST00000521647,ENST00000521694,ENST00000522812,ENST00000524009,ENST00000524261,HGNC:9051,HPA003412,Hs.491582,K03021,L00141,L00142,L00143,L00144,L00145,L00146,L00147,L00148,L00149,L00150,L00151,L00153,M11889,M11890,M15518,M18182,NM_000930,NM_000930.3,NM_033011,NM_033011.2,NP_000921,NP_000921.1,NP_001306118.1,NP_127509,NP_127509.1,NX_P00750,OMIM:173370,OTTHUMG00000164072,OTTHUMP00000225783,OTTHUMP00000225784,OTTHUMP00000225785,OTTHUMP00000225786,OTTHUMP00000225787,OTTHUMP00000225788,OTTHUMP00000225789,OTTHUMP00000225790,OTTHUMP00000225791,OTTHUMT00000377098,OTTHUMT00000377100,OTTHUMT00000377101,OTTHUMT00000377102,OTTHUMT00000377103,OTTHUMT00000377104,OTTHUMT00000377105,OTTHUMT00000377106,OTTHUMT00000377107,OTTHUMT00000377108,OTTHUMT00000377109,OTTHUMT00000377110,P00750,PLAT,PLAT-001,PLAT-002,PLAT-003,PLAT-004,PLAT-005,PLAT-006,PLAT-008,PLAT-009,PLAT-010,PLAT-011,PLAT-012,PLAT-013,Plasminogen activator, tissue,Q15103,Q503B0,Q6LBF5,Q6PJA5,Q7Z7N2,Q86YK8,Q9BU99,Q9BZW1,Reteplase,S01.232,T-PA,TPA,TPA_HUMAN,Tissue-type plasminogen activator,UPI0000000DD4,UPI00000733CC,UPI00017A7885,UPI00017A7992,UPI0001E8F145,UPI0001E8F146,UPI0001E8F147,UPI0001E8F148,V00570,X07393,X13097,X77531,hsa:5327,plasminogen activator, tissue,plasminogen activator, tissue type,uc003xos.2,uc003xos.3,uc003xot.2,uc011lcm.1,uc011lcn.1
PLD3	9606.ENSP00000387050	https://smart.embl.de/smart/DDvec.cgi?smart=490:TRANS(38|60)+PLDc(196|223)+Pfam_PLDc_3(226|403)+PLDc(411|437)+	Phospholipase D3; May be involved in APP processing; Belongs to the phospholipase D family	23646,3.1.4.4,A0A024R0Q4,AAB16799.1,AAH00553.2,AAH36327.1,AAH96820.1,AC010271,AD19,BC000553,BC036327,BC096820,CAB020812,CCDS33027,CCDS33027.1,Choline phosphatase 3,E2QRG1,EAW56951.1,EAW56952.1,EAW56953.1,EAW56954.1,EAW56955.1,EAW56956.1,EAW56957.1,EAW56958.1,EAW56959.1,EC 3.1.4.4,ENSG00000105223,ENSP00000221822,ENSP00000338894,ENSP00000348901,ENSP00000352220,ENSP00000375886,ENSP00000375888,ENSP00000386293,ENSP00000386938,ENSP00000387022,ENSP00000387050,ENSP00000445216,ENSP00000468898,ENSP00000468999,ENSP00000469675,ENSP00000469868,ENSP00000470569,ENSP00000470603,ENSP00000471838,ENSP00000472509,ENSP00000472854,ENSP00000473218,ENST00000221822,ENST00000335834,ENST00000356508,ENST00000359274,ENST00000392032,ENST00000392034,ENST00000409281,ENST00000409419,ENST00000409587,ENST00000409735,ENST00000464586,ENST00000475983,ENST00000480030,ENST00000485448,ENST00000486134,ENST00000488311,ENST00000492243,ENST00000493006,ENST00000536031,ENST00000594085,ENST00000594908,ENST00000596470,ENST00000596682,ENST00000598962,ENST00000599353,ENST00000599685,ENST00000600479,ENST00000600948,ENST00000602131,HGNC:17158,HPA012800,HU-K4,HUK4,HindIII K4L homolog,Hu-K4,M0QX50,M0QX99,M0QY94,M0QZK2,M0R1F7,M0R2E7,NM_001031696,NM_001031696.2,NM_001291311,NM_001291311.1,NM_012268,NM_012268.2,NP_001026866,NP_001026866.1,NP_001278240,NP_001278240.1,NP_036400,NP_036400.2,NX_Q8IV08,OMIM:615698,OTTHUMG00000152736,OTTHUMP00000202292,OTTHUMP00000202323,OTTHUMP00000202324,OTTHUMP00000202325,OTTHUMP00000202326,OTTHUMP00000202327,OTTHUMP00000202328,OTTHUMP00000269624,OTTHUMP00000269625,OTTHUMP00000269626,OTTHUMP00000269815,OTTHUMP00000269816,OTTHUMP00000269817,OTTHUMP00000269818,OTTHUMP00000269826,OTTHUMP00000269827,OTTHUMP00000270612,OTTHUMT00000327628,OTTHUMT00000327720,OTTHUMT00000327721,OTTHUMT00000327722,OTTHUMT00000327723,OTTHUMT00000327724,OTTHUMT00000327725,OTTHUMT00000327726,OTTHUMT00000327727,OTTHUMT00000327728,OTTHUMT00000327729,OTTHUMT00000327730,OTTHUMT00000327731,OTTHUMT00000327732,OTTHUMT00000327733,OTTHUMT00000462607,OTTHUMT00000463005,OTTHUMT00000463006,OTTHUMT00000463007,OTTHUMT00000463008,OTTHUMT00000463009,OTTHUMT00000463024,OTTHUMT00000463025,OTTHUMT00000463026,OTTHUMT00000464542,PLD3,PLD3-001,PLD3-002,PLD3-003,PLD3-004,PLD3-005,PLD3-006,PLD3-007,PLD3-008,PLD3-009,PLD3-010,PLD3-011,PLD3-012,PLD3-013,PLD3-014,PLD3-015,PLD3-017,PLD3-018,PLD3-019,PLD3-020,PLD3-021,PLD3-022,PLD3-023,PLD3-024,PLD3-025,PLD3-026,PLD3_HUMAN,Phosphatidylcholine-hydrolyzing phospholipase D3,Phospholipase D family, member 3,Phospholipase D3,Phospholipases,Q8IV08,Q92853,Q9BW87,SCA46,U60644,UPI000004FA75,UPI000040BE4F,UPI0001881A7E,UPI0001881A7F,UPI0002A470A3,UPI0002A470F5,UPI0002A471B5,UPI0002A4728D,UPI0002A4758B,UPI0002A475BE,UPI0002A4768E,UPI0002A476BD,UPI0002A476F1,XM_005258704,XM_005258704.1,XM_005258705,XM_005258705.1,XM_005258706,XM_005258706.2,XM_005258707,XM_005258707.2,XM_005258708,XM_005258708.1,XM_005258709,XM_005258709.2,XM_005258710,XM_005258710.2,XM_006723121,XM_006723121.1,XM_006723122,XM_006723122.1,XM_006723123,XM_006723123.1,XM_006723124,XM_006723124.1,XP_005258761,XP_005258761.1,XP_005258762,XP_005258762.1,XP_005258763,XP_005258763.1,XP_005258764,XP_005258764.1,XP_005258765,XP_005258765.1,XP_005258766,XP_005258766.1,XP_005258767,XP_005258767.1,XP_006723184,XP_006723184.1,XP_006723185,XP_006723185.1,XP_006723186,XP_006723186.1,XP_006723187,XP_006723187.1,XP_011524994.1,XP_011524995.1,XP_016882035.1,XP_016882036.1,XP_016882037.1,XP_016882038.1,hsa:23646,phospholipase D family member 3,phospholipase D family, member 3,phospholipase D3,uc002onj.4,uc002onj.5,uc002onm.4,uc002onn.3,uc021uus.1,uc060yrn.1
PLEKHA5	9606.ENSP00000404296	https://smart.embl.de/smart/DDvec.cgi?smart=1282:WW(11|43)+WW(57|89)+PH(170|270)+COIL(750|781)+	Pleckstrin homology domain containing A5	2DKP,54477,A0A024RAY7,A0JP02,A0JP03,AAG22817.1,AAH00969.1,AAH13133.3,AAH44245.1,AAH70174.1,AAI27092.1,AAI27093.1,AB051473,AB642244,AC024902,AC087314,AC091805,AC092828,AF302150,AK001529,AK023127,AK294739,AK295151,AK296277,AK297391,AL834259,B4DGS1,B4DHK5,B4DJX4,B4DMB9,BAA91742.1,BAB14419.1,BAB21777.2,BAG57882.1,BAG58167.1,BAG58986.1,BAG59831.1,BAL45489.1,BC000969,BC013133,BC044245,BC070174,BC127091,BC127092,CAD38934.1,CCDS44840,CCDS44840.2,CCDS55809,CCDS55809.1,CCDS58213,CCDS58213.1,CCDS58214,CCDS58214.1,CCDS8682,CCDS8682.1,E9PHQ3,EAW96392.1,EAW96393.1,EAW96395.1,ENSG00000052126,ENSP00000261199,ENSP00000299275,ENSP00000311239,ENSP00000325155,ENSP00000347560,ENSP00000352104,ENSP00000400411,ENSP00000404296,ENSP00000410296,ENSP00000439396,ENSP00000439673,ENSP00000439837,ENSP00000440371,ENSP00000440611,ENSP00000441777,ENSP00000443553,ENSP00000444368,ENSP00000446308,ENST00000261199,ENST00000299275,ENST00000309364,ENST00000317589,ENST00000355397,ENST00000359180,ENST00000412219,ENST00000424268,ENST00000429027,ENST00000510738,ENST00000534979,ENST00000535357,ENST00000536974,ENST00000537027,ENST00000538034,ENST00000538068,ENST00000538305,ENST00000538677,ENST00000538714,ENST00000538972,ENST00000539256,ENST00000540972,ENST00000542828,ENST00000543806,F5H0I0,F5H1X3,FLJ10667,H0YGJ6,HGNC:30036,HPA035923,HPA035924,Hs.188614,Hs.595426,Hs.732805,KIAA1686,NM_001143821,NM_001143821.2,NM_001190860,NM_001190860.2,NM_001256470,NM_001256470.1,NM_001256787,NM_001256787.1,NM_019012,NM_019012.5,NP_001137293,NP_001137293.2,NP_001177789,NP_001177789.2,NP_001243399,NP_001243399.1,NP_001243716,NP_001243716.1,NP_061885,NP_061885.2,NX_Q9HAU0,OMIM:607770,OTTHUMG00000167921,OTTHUMP00000237298,OTTHUMP00000237299,OTTHUMP00000237300,OTTHUMP00000237301,OTTHUMP00000237302,OTTHUMP00000237303,OTTHUMP00000237304,OTTHUMP00000239732,OTTHUMT00000397012,OTTHUMT00000397013,OTTHUMT00000397014,OTTHUMT00000397015,OTTHUMT00000397016,OTTHUMT00000397017,OTTHUMT00000397018,OTTHUMT00000397019,OTTHUMT00000397020,OTTHUMT00000397021,OTTHUMT00000401567,OTTHUMT00000401568,OTTHUMT00000401569,OTTHUMT00000401570,PEPP-2,PEPP2,PKHA5_HUMAN,PLEKHA5,PLEKHA5-001,PLEKHA5-002,PLEKHA5-003,PLEKHA5-004,PLEKHA5-005,PLEKHA5-006,PLEKHA5-007,PLEKHA5-008,PLEKHA5-009,PLEKHA5-010,PLEKHA5-011,PLEKHA5-012,PLEKHA5-013,PLEKHA5-014,PLEKHA5-201,PLEKHA5-202,Phosphoinositol 3-phosphate-binding protein 2,Pleckstrin homology domain containing,Q6NSF8,Q86ST7,Q8N3K6,Q96DY9,Q9BVR4,Q9C0H7,Q9H924,Q9HAU0,Q9NVK8,UPI000000DA84,UPI0000040B78,UPI000034E5CC,UPI0000E674D2,UPI00017A70F2,UPI0001DB9554,UPI000204ABA8,UPI000204ABA9,UPI000204ABAA,UPI000204ABAB,XM_005253399,XM_005253399.1,XM_005253400,XM_005253400.1,XM_006719095,XM_006719095.1,XM_006719096,XM_006719096.1,XP_005253455,XP_005253455.1,XP_005253456,XP_005253456.1,XP_005253457,XP_005253457.1,XP_006719152,XP_006719152.1,XP_006719153,XP_006719153.1,XP_006719154,XP_006719154.1,XP_006719155,XP_006719155.1,XP_006719157,XP_006719157.1,XP_006719158,XP_006719158.1,XP_006719159,XP_006719159.1,XP_011519019.1,XP_016874992.1,hsa:54477,pleckstrin homology domain containing A5,uc001rdz.4,uc001rdz.5,uc001rea.3,uc001reb.3,uc001reb.4,uc009zin.3,uc009zio.3,uc010sig.2,uc010sih.1,uc031qgo.1
PLEKHF2	9606.ENSP00000322373	https://smart.embl.de/smart/DDvec.cgi?smart=249:PH(36|133)+FYVE(144|213)+	Pleckstrin homology domain-containing family F member 2; May play a role in early endosome fusion upstream of RAB5, hence regulating receptor trafficking and fluid-phase transport. Enhances cellular sensitivity to TNF-induced apoptosis; Pleckstrin homology domain containing	79666,AAH11806.1,AAL30774.1,AF434819,AK023249,AL834473,BAB14486.1,BC011806,CAD39132.1,CCDS6267,CCDS6267.1,EAPF,ENSG00000175895,ENSP00000322373,ENSP00000427792,ENST00000315367,ENST00000519516,FLJ13187,HGNC:20757,HPA024829,Hs.29724,Hs.619173,NM_024613,NM_024613.3,NP_078889,NP_078889.1,NX_Q9H8W4,OMIM:615208,OTTHUMG00000164660,OTTHUMP00000227182,OTTHUMP00000227183,OTTHUMT00000379666,OTTHUMT00000379667,PH and FYVE domain-containing protein 2,PHAFIN2,PKHF2_HUMAN,PLEKHF2,PLEKHF2-001,PLEKHF2-002,Phafin-2,Pleckstrin homology domain containing,Q9H8W4,UPI0000035DB0,ZFYVE18,Zinc finger FYVE domain-containing protein 18,Zinc fingers FYVE-type,hsa:79666,pleckstrin homology and FYVE domain containing 2,uc003yhn.2,uc003yhn.3
PLOD2	9606.ENSP00000282903	https://smart.embl.de/smart/DDvec.cgi?smart=758:SIGNAL(1|25)+P4Hc(584|757)+	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2; Forms hydroxylysine residues in -Xaa-Lys-Gly- sequences in collagens. These hydroxylysines serve as sites of attachment for carbohydrate units and are essential for the stability of the intermolecular collagen cross-links	1.14.11.4,5352,AAB58363.1,AAD40977.1,AAH16834.1,AAH37169.1,AAK20119.1,AB209879,AC092982,AC107021,AF085277,AK125700,AY026757,B3KWS3,BAD93116.1,BAG54235.1,BC016834,BC037169,BRKS2,C9JXZ0,CAB025898,CCDS3131,CCDS3131.1,CCDS3132,CCDS3132.1,E7ETU9,EC 1.14.11.4,ENSG00000152952,ENSP00000282903,ENSP00000312703,ENSP00000334343,ENSP00000353170,ENSP00000419354,ENSP00000419880,ENSP00000419963,ENSP00000420094,ENST00000282903,ENST00000314938,ENST00000352514,ENST00000360060,ENST00000460520,ENST00000461497,ENST00000469350,ENST00000475505,ENST00000478436,ENST00000480704,ENST00000494950,ENST00000495700,F8WEW3,HGNC:9082,Hs.477866,LH2,Lysyl hydroxylase 2,NM_000935,NM_000935.2,NM_182943,NM_182943.2,NP_000926,NP_000926.2,NP_891988,NP_891988.1,NX_O00469,O00469,OMIM:601865,OTTHUMG00000159417,OTTHUMP00000215204,OTTHUMP00000215205,OTTHUMP00000215206,OTTHUMP00000215207,OTTHUMP00000215208,OTTHUMP00000215209,OTTHUMT00000355184,OTTHUMT00000355185,OTTHUMT00000355186,OTTHUMT00000355187,OTTHUMT00000355188,OTTHUMT00000355189,OTTHUMT00000355190,OTTHUMT00000355191,OTTHUMT00000355192,OTTHUMT00000355193,PLOD2,PLOD2-001,PLOD2-002,PLOD2-003,PLOD2-004,PLOD2-005,PLOD2-006,PLOD2-007,PLOD2-008,PLOD2-009,PLOD2-010,PLOD2_HUMAN,Q59ED2,Q8N170,Q96AR9,Q96QU5,Q9Y6D3,TLH,U84573,UPI0000049C44,UPI000013DD08,UPI00004A24F3,UPI0001B79686,UPI0001B79687,UPI0001B79688,XM_005247535,XM_005247535.2,XP_005247592,XP_005247592.1,XP_005247593,XP_005247593.1,hsa:5352,lysyl hydroxlase 2,procollagen-lysine 5-dioxygenase,uc003evq.1,uc003evq.2,uc003evr.1,uc003evr.2,uc003evs.1,uc011bnm.1
PMPCA	9606.ENSP00000360782	https://smart.embl.de/smart/DDvec.cgi?smart=525:Pfam_Peptidase_M16(77|227)+Pfam_Peptidase_M16_C(232|431)+	Mitochondrial-processing peptidase subunit alpha; Cleaves presequences (transit peptides) from mitochondrial protein precursors; Belongs to the peptidase M16 family	23203,3.4.24.64,AAH04342.1,AAH22949.1,AAH33103.2,AAI11400.1,AAI32725.1,AAI36600.1,AK296617,Alpha-MPP,B4DKL3,BAA04643.1,BAA09472.2,BAG59225.1,BC004342,BC022949,BC033103,BC111399,BC132724,BC136599,CAI13945.1,CCDS35180,CCDS35180.1,CCDS65192,CCDS65192.1,CLA1,CPD3,D21064,D50913,E7ET61,EAW88232.1,EC 3.4.24.64,ENSG00000165688,ENSP00000298536,ENSP00000360782,ENSP00000360785,ENSP00000406940,ENSP00000408393,ENSP00000416702,ENST00000298536,ENST00000371717,ENST00000371720,ENST00000399219,ENST00000444897,ENST00000446975,ENST00000462616,ENST00000610649,ENST00000612553,ENST00000614402,ENST00000619192,ENST00000620412,ENST00000620895,ENST00000622209,HGNC:18667,HPA021648,Hs.495471,INPP5E,KIAA0123,M16 metallopeptidases,M16.P01,MPPA,MPPA_HUMAN,Mitochondrial-processing peptidase subunit alpha,NM_001282944,NM_001282944.1,NM_001282946,NM_001282946.1,NM_015160,NM_015160.2,NP_001269873,NP_001269873.1,NP_001269875,NP_001269875.1,NP_055975,NP_055975.1,NX_Q10713,OMIM:613036,OTTHUMG00000020926,OTTHUMP00000022572,OTTHUMP00000022573,OTTHUMP00000277102,OTTHUMT00000055054,OTTHUMT00000055055,OTTHUMT00000055056,OTTHUMT00000055057,OTTHUMT00000477903,OTTHUMT00000477904,OTTHUMT00000477905,OTTHUMT00000477906,OTTHUMT00000477907,OTTHUMT00000477908,OTTHUMT00000477909,OTTHUMT00000477910,P-55,PMPCA,PMPCA-001,PMPCA-002,PMPCA-003,PMPCA-004,PMPCA-005,PMPCA-006,PMPCA-007,PMPCA-008,PMPCA-009,PMPCA-010,PMPCA-011,PMPCA-012,Peptidase (mitochondrial processing) alpha,Q10713,Q16639,Q5SXM9,Q5SXN0,Q5SXN9,Q8N513,Q9BT52,SCAR2,UPI00000703D3,UPI0000470202,UPI00017A7434,hsa:23203,inositol polyphosphate-5-phosphatase, 72 kD,peptidase (mitochondrial processing) alpha,peptidase alpha,uc004chl.4,uc004chl.5,uc004chm.1,uc010nbk.3,uc011mdz.3
PMPCB	9606.ENSP00000249269	https://smart.embl.de/smart/DDvec.cgi?smart=489:Pfam_Peptidase_M16(68|215)+Pfam_Peptidase_M16_C(220|404)+	Mitochondrial-processing peptidase subunit beta; Cleaves presequences (transit peptides) from mitochondrial protein precursors; M16 metallopeptidases	3.4.24.64,9512,AAC39915.1,AF054182,Beta-MPP,CCDS5730,CCDS5730.1,EAW83327.1,EC 3.4.24.64,ENSG00000105819,ENSP00000249269,ENSP00000314304,ENSP00000314786,ENSP00000368571,ENSP00000388934,ENSP00000390035,ENSP00000397884,ENSP00000402859,ENSP00000408682,ENSP00000410393,ENSP00000444827,ENST00000249269,ENST00000318470,ENST00000318502,ENST00000379269,ENST00000420236,ENST00000428154,ENST00000443722,ENST00000444457,ENST00000453466,ENST00000456433,ENST00000469560,ENST00000498530,ENST00000545817,F8WAZ6,F8WBE1,F8WEA6,F8WEC8,G3V0E4,HGNC:9119,HPA040674,Hs.184211,M16 metallopeptidases,M16.003,MPP11,MPPB,MPPB_HUMAN,MPPP52,Mitochondrial-processing peptidase subunit beta,NM_004279,NM_004279.2,NP_004270,NP_004270.2,NX_O75439,O60416,O75439,OMIM:603131,OTTHUMG00000157205,OTTHUMP00000211704,OTTHUMP00000211705,OTTHUMP00000211706,OTTHUMP00000211707,OTTHUMP00000211708,OTTHUMP00000211709,OTTHUMT00000347913,OTTHUMT00000347914,OTTHUMT00000347916,OTTHUMT00000347917,OTTHUMT00000347918,OTTHUMT00000347919,OTTHUMT00000347920,OTTHUMT00000347921,P-52,PMPCB,PMPCB-001,PMPCB-002,PMPCB-004,PMPCB-005,PMPCB-006,PMPCB-007,PMPCB-008,PMPCB-009,Peptidase (mitochondrial processing) beta,Q96FV4,UPI00000712F7,UPI0000072F81,UPI000198CFB6,UPI000198CFC7,UPI000198CFC8,UPI000198CFC9,XP_005250774,XP_005250774.1,XP_006716244,XP_006716244.1,hsa:9512,peptidase (mitochondrial processing) beta,peptidase beta,peptidase, mitochondrial processing beta subunit,uc003vbk.1,uc003vbl.3,uc003vbl.4,uc010liu.2
